title,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime,rating_float,image
#FriendButMarried 2,2020,"Ayudia (Mawar De Jongh) is not satisfied enough in enjoying the moment as a wife, but she suddenly becomes pregnant. Her personality changes completely and becomes lazy and super sensitive.",Biography,13+,6.5,120.0,Indonesian,Rako Prijanto,"['Adipati Dolken', 'Mawar Eva de Jongh', 'Vonny Cornellya', 'Sari Nila', 'Ivan Leonardy', 'Clay Gribble', 'Sarah Sechan', 'Jourdy Pranata', 'Tubagus Ali', 'Ravil Prasetya', 'Nagra Kautsar Pakusadewo', 'Canti Tachril', 'Thalia Basir', 'Sp Lili', 'Anna Tairas']",100.0,13.0,https://images.justwatch.com/poster/187785718/s166/friendbutmarried-2.avif
4 Mantan,2020,"Sara, Airin, Rachel, and Amara were accidentally brought together after the death of their ex, Alex. All four received a letter saying that there was one killer among them.",Thriller,17+,6.4,8.0,Indonesian,Hanny Saputra,"['Ranty Maria', 'Jeff Smith', 'Melanie Berentz', 'Denira Wiraguna', 'Melayu Nicole', 'Cinta Brian', 'Delano Daniel', 'Denny Weller', 'Mario Wiericx', 'Wani Siregar', 'Gary M. Iskak', 'Akja Dethan', 'Ayu Dyah Pasha', nan, nan]",80.0,17.0,https://images.justwatch.com/poster/173427596/s166/.avif
Aku Tahu Kapan Kamu Mati,2020,"After apparent death, Siena is able to see signs that people will die. However, her friends did not believe in her abilities. Then, the sign appeared on her and those closest to her.",Horror,13+,5.4,17.0,Indonesian,Hadrah Daeng Ratu,"['Natasha Wilona', 'Ria Ricis', 'Al Ghazali', 'Fitria Rasyidi', 'Ryma Karimah', 'Sonia Alexa', 'Asri Welas', 'Cathrine Wilson', 'Opie Kumis', 'Adinda Halona', 'Elizabeth Christine', 'Daus Separo', 'Rita Nurmaliza', 'Anastasia Adamova', nan]",92.0,13.0,https://images.justwatch.com/poster/167560637/s166/i-know-when-you-are-going-to-die.avif
Anak Garuda,2020,"Good Morning Indonesia, a school for poor orphans, invites seven children to become a team. But, jealousy and envy started because of the hidden love between them. They are sent to Europe without accompany, and the conflicts are exploded.",Adventure,13+,9.1,27.0,Indonesian,Faozan Rizal,"['Tissa Biani Azzahra', 'Violla Georgie', 'Ajil Ditto', 'Clairine Clay', 'Geraldy Krechoff', 'Rania Putri Sari', 'Rebecca Klopper', 'Kiki Narendra', 'Krisjiana Baharuddin', 'Rizky Mocil', 'Faradina Mufti', 'Laras Sardi', 'Fatih Unru', 'Iqbal Solaiman', 'Toran Waibro']",129.0,13.0,https://images.justwatch.com/poster/165066064/s166/anak-garuda.avif
Dignitate,2020,"Alfi (Al Ghazali) meets Alana (Caitlin Halderman), a new student at school. It turns out that they are in one class and sitting next to each other. Instead of getting along, they often argue because they both are stubborn.",Drama,17+,7.6,33.0,Indonesian,Fajar Nugros,"['Al Ghazali', 'Caitlin Halderman', 'Giorgino Abraham', 'Teuku Rizky Muhammad', 'Sophia Latjuba', 'Izabel Jahja', 'Budiman Sudjatmiko', 'Sonia Alyssa', 'Naimma Aljufri', 'Kiara Mckenna', 'Lania Fira', 'Kanneth Santana', 'Bramanta Sadhu', 'Dinda Kanyadewi', 'Mat Oil']",109.0,17.0,https://images.justwatch.com/poster/159614339/s166/dignitate.avif
Hunter in the Blue Side of Manchester,2020,"This movie tells the story of Hanif Thamrin (Adipati Dolken) leaving his hometown and trying to pursue his dream to become the only Indonesian at that time who works in the biggest soccer league in the world, English Premier League.",Biography,13+,6.2,21.0,English,Rako Prijanto,"['Adipati Dolken', 'Ganindra Bimo', 'Vonny Cornellya', 'Donny Alamsyah', 'Eddie Addison', 'Luis Amália', 'Priscila Araujo', 'Juliana Barros', 'Sabean Bea', 'Kiera Bell', 'Jamie Buchanan', 'Maurice Byrne', 'Ian Frost', 'Milica Guceva', 'Yasmin Hodges']",90.0,13.0,https://images.justwatch.com/poster/173439324/s166/.avif
Janin,2020,"Randu (Reuben Elishama Hadju) and Dinar (Jill Gladys) are happy because Dinar conceives for the fourth month. However, their happiness slowly disappears when a middle-aged woman, Sukma (...",Horror,17+,6.1,7.0,Indonesian,Ook Budiyono,"['Jill Gladys', 'Reuben Elishama', 'Meriam Bellina', 'Arnold Leonard', 'Babe Cabita', 'Rhesa Putri', 'Richelle Georgette Skornicki', 'Regina Rengganis', 'Dayu Wijanto', nan, nan, nan, nan, nan, nan]",85.0,17.0,https://images.justwatch.com/poster/159622946/s166/.avif
Mangkujiwo,2020,A born of Kuntilanak from a Twin Mirror with her misery.,Horror,17+,5.9,67.0,Indonesian,Azhar Kinoi Lubis,"['Sujiwo Tejo', 'Yasamin Jasem', 'Asmara Abigail', 'Roy Marten', 'Karina Suwandhi', 'Djenar Maesa Ayu', 'Samuel Rizal', 'Septian Dwi Cahyo', 'Kedung Darma R.', 'Landung Simatupang', 'Merriel Jessica Tarihoran', 'Elang El Gibran', 'Marcus Hacquebord', 'Gogot Suryanto', 'Kukuh']",109.0,17.0,https://images.justwatch.com/poster/321337576/s166/mangkujiwo.avif
Mariposa,2020,"Iqbal (Angga Yunanda) is like a Mariposa butterfly to Acha (Adhisty Zara). Each time someone approach, he always runs away. Acha is determined to win Iqbal, a man known to be handsome, smart, yet cold.",Drama,13+,8.5,54.0,Indonesian,Fajar Bustomi,"['Angga Yunanda', 'Adhisty Zara', 'Dannia Salsabila', 'Abun Sungkar', 'Junior Roberts', 'Syakir Daulay', 'Ariyo Wahab', 'Irgi Fahrezi', 'Ersa Mayori', 'Baim', 'Iszur Muchtar', 'Ruth Permatasari', 'Yudha Keling', 'Diaz Danar', 'Aris Nugraha']",117.0,13.0,https://resizing.flixster.com/z1MRZueId_PXz8MCVeqJawsZJ54=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p19620403_p_v8_aa.jpg
May the Devil Take You: Chapter Two,2020,"Two years after escaping from demonic terror, the young woman is still haunted by unnatural vision. The dangers that await her and her friends are increasingly threatening: the figure of darkness rises to take their lives.",Horror,17+,6.3,150.0,Indonesian,Timo Tjahjanto,"['Chelsea Islan', 'Widika Sidmore', 'Baskara Mahendra', 'Hadijah Shahab', 'Lutesha', 'Arya Vasco', 'Karina Salim', 'Shareefa Daanish', 'Karina Suwandhi', 'Ruth Marini', 'Aurélie Moeremans', 'Tri Hariono', nan, nan, nan]",110.0,17.0,https://resizing.flixster.com/f2OCW52eFO5J1XmylFWgqUnovMY=/206x305/v2/https://resizing.flixster.com/bc4c_Ukfa_Nx1XWeY99jXC4z8vQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzgxNTllNDE3LWM4MDgtNDc2Yy1hODM1LWJlNzU5ZWI3ZDU5OC53ZWJw
